year,month,oyo_id,hub,city,cluster,SRNs,GMV,OCC,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,ARR,OTA.1,TraveLoka.1,Booking.com.1,Agoda.1,Tiket.com.1,Pegipegi.1,Expedia.1,App.1,MM.1,Walk_In.1,Web.1,Direct.1,Rest.1,Revpar,Cancellations,No_Shows,GTR,NTR,MG_Loss,Review score,display_category
2020,1,ID_BAH004,North Sumatra,Banda Aceh,Banda Aceh,772,63376147.72,0.3614,0.2461,0.0699,0.0324,0.1023,0.0298,0.0,0.0117,0.079,0.0259,0.0078,0.0026,0.0,0.0,227154,222713,210396,223923,233359,220379,0,205761,204686,300000,333333,287375,0,0,82093,0.3017,0.0356,0.2468,0.12210000000000001,0,6.6,OYO Hotels
2020,1,ID_BAH004,North Sumatra,Banda Aceh,Banda Aceh,772,63376147.72,0.3614,0.2461,0.0699,0.0324,0.1023,0.0298,0.0,0.0117,0.079,0.0259,0.0078,0.0026,0.0,0.0,227154,222713,210396,223923,233359,220379,0,205761,204686,300000,333333,287375,0,0,82093,0.3017,0.0356,0.2468,0.12210000000000001,0,5.5,OYO Hotels
2020,1,ID_BAH004,North Sumatra,Banda Aceh,Banda Aceh,772,63376147.72,0.3614,0.2461,0.0699,0.0324,0.1023,0.0298,0.0,0.0117,0.079,0.0259,0.0078,0.0026,0.0,0.0,227154,222713,210396,223923,233359,220379,0,205761,204686,300000,333333,287375,0,0,82093,0.3017,0.0356,0.2468,0.12210000000000001,0,5.7,OYO Hotels
2020,1,ID_BAH004,North Sumatra,Banda Aceh,Banda Aceh,772,63376147.72,0.3614,0.2461,0.0699,0.0324,0.1023,0.0298,0.0,0.0117,0.079,0.0259,0.0078,0.0026,0.0,0.0,227154,222713,210396,223923,233359,220379,0,205761,204686,300000,333333,287375,0,0,82093,0.3017,0.0356,0.2468,0.12210000000000001,0,8.5,OYO Hotels
2020,1,ID_BAH005,North Sumatra,Banda Aceh,Banda Aceh,558,75436335.05,0.6434,0.3154,0.1237,0.0806,0.0878,0.0179,0.0036,0.0018,0.1792,0.0287,0.1093,0.0,0.0108,0.0,210119,202361,189986,192747,232842,187920,181115,182238,200299,220000,245336,0,216948,0,135184,0.4046,0.0,0.33509999999999995,0.249,0,8.5,OYO Rooms
2020,1,ID_BAH005,North Sumatra,Banda Aceh,Banda Aceh,558,75436335.05,0.6434,0.3154,0.1237,0.0806,0.0878,0.0179,0.0036,0.0018,0.1792,0.0287,0.1093,0.0,0.0108,0.0,210119,202361,189986,192747,232842,187920,181115,182238,200299,220000,245336,0,216948,0,135184,0.4046,0.0,0.33509999999999995,0.249,0,5.1,OYO Rooms
2020,1,ID_BAH010,North Sumatra,Banda Aceh,Banda Aceh,628,101694757.0,0.6608,0.2038,0.1067,0.0414,0.0143,0.0271,0.0143,0.0,0.4076,0.0143,0.0096,0.008,0.0111,0.0064,245058,228216,227914,235794,253485,207819,221824,0,250108,237568,350000,269513,267757,250000,161942,0.2208,0.0219,0.30079999999999996,0.247,0,8.5,OYO Hotels
2020,1,ID_BAH012,North Sumatra,Banda Aceh,Banda Aceh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,8.5,OYO Hotels
2020,1,ID_BAH012,North Sumatra,Banda Aceh,Banda Aceh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,5.1,OYO Hotels
2020,1,ID_BAH012,North Sumatra,Banda Aceh,Banda Aceh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,9.7,OYO Hotels
2020,1,ID_BAH012,North Sumatra,Banda Aceh,Banda Aceh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,2.0,OYO Hotels
2020,1,ID_BAH012,North Sumatra,Banda Aceh,Banda Aceh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,9.2,OYO Hotels
