year,month,oyo_id,hub,city,cluster,SRNs,GMV,OCC,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,ARR,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,Revpar,Cancellations,No_Shows,GTR,NTR,MG_Loss
2020,1,ID_ABN017,North Sulawesi,Ambon,Rijali,391,"567,376",1.28%,0.77%,0.26%,0.26%,0.00%,0.26%,0.00%,0.00%,0.51%,0.00%,0.00%,0.00%,0.00%,0.00%,"113,475","106,052","99,200","124,635",0,"94,322",0,0,"124,610",0,0,0,0,0,"1,451",72.73%,4.55%,63.27%,53.63%,0
2020,1,ID_ABN018,North Sulawesi,Ambon,Ambon,30,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_ABN019,North Sulawesi,Ambon,Ambon,17,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_ANJ001,East Java 2,Nganjuk,Nganjuk,1922,"8,210,519",3.43%,2.13%,1.20%,0.31%,0.57%,0.00%,0.05%,0.00%,1.25%,0.00%,0.00%,0.00%,0.05%,0.00%,"124,402","123,647","123,873","145,877","112,370",0,"109,106",0,"126,750",0,0,0,"99,000",0,"4,272",58.52%,3.98%,37.55%,25.66%,0
2020,1,ID_ANJ002,East Java 2,Nganjuk,Nganjuk,341,"3,662,779",6.16%,3.81%,3.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.88%,0.00%,0.00%,1.17%,0.29%,0.00%,"174,418","179,775","179,775",0,0,0,0,0,"170,233",0,0,"169,000","139,000",0,"10,741",24.14%,3.45%,36.99%,24.85%,0
2020,1,ID_ANJ003,East Java 2,Nganjuk,Nganjuk,290,"4,343,050",16.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.38%,0.00%,3.79%,1.38%,0.00%,0.00%,"90,480",0,0,0,0,0,0,0,"73,560",0,"142,423","87,234",0,0,"14,976",52.17%,6.09%,26.89%,26.89%,0
2020,1,ID_ANJ004,East Java 2,Nganjuk,Nganjuk,584,"975,870",1.88%,0.17%,0.00%,0.00%,0.00%,0.00%,0.17%,0.00%,1.71%,0.00%,0.00%,0.00%,0.00%,0.00%,"88,715","79,460",0,0,0,0,"79,460",0,"89,641",0,0,0,0,0,"1,671",58.06%,6.45%,50.39%,48.99%,0
2020,1,ID_AWI001,East Java 2,Ngawi,Ngawi,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BAH001,North Sumatra,Banda Aceh,Banda Aceh,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BAH002,North Sumatra,Banda Aceh,Banda Aceh,899,########,45.49%,29.25%,7.56%,5.23%,13.46%,1.67%,0.67%,0.22%,9.45%,1.89%,4.34%,0.11%,0.44%,0.00%,"210,339","207,538","205,909","194,778","209,436","217,297","217,986","268,166","225,941","187,647","202,382","218,748","234,928",0,"95,694",17.52%,1.97%,36.53%,24.12%,0
2020,1,ID_BAH003,North Sumatra,Banda Aceh,Banda Aceh,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BAH004,North Sumatra,Banda Aceh,Banda Aceh,772,########,36.14%,24.61%,6.99%,3.24%,10.23%,2.98%,0.00%,1.17%,7.90%,2.59%,0.78%,0.26%,0.00%,0.00%,"227,154","222,713","210,396","223,923","233,359","220,379",0,"205,761","204,686","300,000","333,333","287,375",0,0,"82,093",30.17%,3.56%,24.68%,12.21%,0
2020,1,ID_BAH005,North Sumatra,Banda Aceh,Banda Aceh,558,########,64.34%,31.54%,12.37%,8.06%,8.78%,1.79%,0.36%,0.18%,17.92%,2.87%,10.93%,0.00%,1.08%,0.00%,"210,119","202,361","189,986","192,747","232,842","187,920","181,115","182,238","200,299","220,000","245,336",0,"216,948",0,"135,184",40.46%,0.00%,33.51%,24.90%,0
